,Product,Aisle Assigned,Cosine Similarity,aisle_origin,number of transactions that had item
72,Maximum Strength Cough & Chest Congestion DM,cold flu allergy,0.01857720828817601,missing,31
73,Antibacterial Liquid Hand Soap Fresh Citrus,eye ear care,0.0184727733241567,other,34
74,Organic Cashew Nondairy Vanilla Yogurt,soy lactosefree,0.018406682955934756,missing,781
75,"Limited Edition Entree, Chicken Tiki Masala",frozen meals,0.0182546148875081,missing,100
76,Rapid Relief Creamy Diaper Rash Ointment,diapers wipes,0.018225411560807255,other,131
77,Organic Rosehip Oil,skin care,0.01821548584634228,missing,21
78,2 In 1 Fresh Berries Wild Raspberry Candle,air fresheners candles,0.01819587946377574,missing,9
79,Coconut Almond Granola,yogurt,0.0180338805370679,other,819
80,Fresh Organic Carrots,fresh vegetables,0.01779017390681481,missing,587
81,Uncured Beef Hot Dog,fresh fruits,0.017754562043244423,missing,873
82,Classic Vanilla Coffee Creamer,specialty wines champagnes,0.017690174404274575,other,396
83,Mexican Chocolate Yogurt,yogurt,0.017678369651879983,missing,447
84,Pink Moscato,white wines,0.017554646661683604,other,108
85,Clarifying Acne Glycolic + Zinc Towelettes,skin care,0.017390383898179214,missing,9
86,Matzo S'mores,kosher foods,0.017370793308317894,missing,5
87,"Grape Wine, Coteaux Varois en Provence, 2013",white wines,0.017272187106558468,other,26
88,Margaritas Strawberry Lime,spirits,0.017248285476275542,other,33
89,Waterfall Hand Wash,body lotions soap,0.017149503863656074,other,98
90,Cilantro Bunch,fresh vegetables,0.017071570538319175,missing,540
91,Perfect Food Alkalize & Detoxifier RAW Organic Green Super Food,protein meal replacements,0.017035317818565234,other,27
92,Candle Lighter,air fresheners candles,0.01696872881307054,other,132
93,Sugar,cocoa drink mixes,0.016964031972783355,missing,55
94,Clearly Crafted Zucchini Apples Quinoa & Basil Baby Food,baby food formula,0.01684125182915931,missing,46
95,Sinus-Max Clear & Cool Maximum Strength Severe Congestion Relief Liquid,cold flu allergy,0.016632735555907247,missing,11
96,Lemon Bag,fresh vegetables,0.016585124426826227,missing,652
97,Honey Peanut Butter Blend & Banana Chips,refrigerated pudding desserts,0.016461565137737427,missing,26
98,Calendula with Beeswax & Sunflower Zinc Oxide Diaper Cream,baby bath body care,0.016363896907432257,other,23
99,Baby Naturals Gel For Teething Pain Relief,cold flu allergy,0.016227985477136928,other,26
100,Pink Moscato California,white wines,0.01618295300058696,other,34
101,Natural Bacon,specialty wines champagnes,0.016128682611260194,missing,14
102,Giraffes Diapers Size 4 L,diapers wipes,0.016107740501377327,other,252
103,Organic Cashew Nondairy Blueberry Yogurt,soy lactosefree,0.01603775680055348,missing,620
104,Sambucus Nighttime Standardized Elderberry,vitamins supplements,0.01603126652246741,other,14
105,Grapefruit Scented Foaming Hand Soap,body lotions soap,0.01597435682209338,other,106
106,Vinho Verde Rose,white wines,0.015740673124861475,other,23
107,Grain Free Chicken Salmon Beef Ground Entrees Wet Dog Food Variety Pack,dog food care,0.015699861584252364,missing,10
108,Organic Poblano Pepper,fresh herbs,0.015440012625575046,missing,362
109,"Stage 2 Eat Your Colors Orange Organic Peach, Pumpkin, Carrot & Cinnamon Baby Food",baby food formula,0.015406084570999366,missing,41
110,Creamer,coffee,0.015295627493117338,other,522
111,Protection Magickal Mineral Bath Salts With Natural Sea Salt & Pure Essential Oils,soap,0.015242264157993148,other,38
112,Organic Crookneck Squash,fresh vegetables,0.015180320721822715,missing,366
113,Moscato Rose,white wines,0.015173983822326941,other,11
114,"Fruit & Nut Bar, Dark Chocolate & Cherry Cashew",energy granola bars,0.0151498808954107,missing,176
115,Whole Milk Yogurt Organic Indonesian Vanilla Bean,yogurt,0.015090227583710385,missing,430
116,Ten Year Old Tawny Porto,specialty wines champagnes,0.01508700110783853,other,4
117,Organic Broccoli Florettes,packaged produce,0.01500345680011597,missing,161
118,Cinnamon Vanilla Creme Liquid Coffee Creamer,cream,0.014998328146356415,other,362
119,White Zinfandel,white wines,0.014930993185139777,other,120
120,Simply Unwrapped Burrito,frozen meals,0.014587053033618732,missing,76
121,Roasted Unsalted Almonds,fresh fruits,0.014505788701623949,other,564
122,Fruit Fly Trap,more household,0.014325624187199727,other,43
123,Liquid Teething Relief,baby food formula,0.014268772459453122,other,331
124,"Magic Tape Refillable Dispenser 3/4\"" x 850\""",more household,0.01426817953756397,missing,236
125,Margarita,white wines,0.014245445692241565,other,86
126,Blueberry Cashew Bar,energy granola bars,0.0142453665317429,missing,128
127,Blissful Catnip Mega Cat Treats,cat food care,0.014205593721803036,missing,7
128,Organic Uncured Beef Hot Dog,buns rolls,0.014138110442975712,missing,518
129,Simple Syrup,spirits,0.014048903662779938,other,107
130,Purely Natural Treats Variety Pack Cat Treats,cat food care,0.013959945336595628,missing,25
131,Shrimpy Shrimp Flavor Treats for Cats,cat food care,0.01394961611184683,missing,12
132,Light Margarita,beers coolers,0.013914504855658762,other,25
133,Coffee Mate French Vanilla Creamer Packets,soft drinks,0.01386217859347136,other,794
134,Organic Elderberry Tonic,refrigerated,0.013613811230387593,missing,111
135,Spicy Salmon Roll,white wines,0.013586061675336273,other,134
136,Walnuts,fresh vegetables,0.013555175722351391,other,568
137,Whole Bay Leaves,spices seasonings,0.013449244218482453,other,176
138,PODs HE Free & Gentle Laundry Detergent,facial care,0.013414664072008553,missing,8
139,Organic Margarita Mix,spirits,0.013411058792203003,other,41
140,Red Beet Bunch,fresh vegetables,0.013297985238735639,missing,315
141,Pate With Chicken & Liver,cat food care,0.013288116170673464,missing,8
142,Max AAA Batteries,more household,0.013253267578084137,other,314
143,Cherry Vanilla Granola,yogurt,0.013199849048417416,other,451
144,Natural Calm Anti-Stress Drink,vitamins supplements,0.013190849241860963,other,138
145,Butt Paste Original Diaper Rash Ointment,diapers wipes,0.013187677323389118,other,44
146,Natural Minerals Sundreams Lotus Infused Bronzer Duo Sunkissed Glow,beauty,0.013088960387126302,missing,4
147,Pierogi Potato & Cheese,packaged produce,0.013030751663568695,other,469
148,Maximum Strength Original Diaper Rash Ointment,diapers wipes,0.013010362733815097,other,107
149,Light Classic Lime Margarita Mix,spirits,0.012954628656182842,other,26
150,Queso Fresco Cheese,fresh herbs,0.012829594437834756,other,223
151,Old Fashion Aromatic Bitters,spirits,0.012824428078756642,other,13
152,Makeup Brush Cleansing Cloths,skin care,0.01277927009449552,missing,6
153,Organic Brown Rice Flour Gluten Free,baking ingredients,0.012726221147288141,missing,109
154,Kombucha Organic & Raw Tantric Tumeric,refrigerated,0.012710893108696397,missing,147
155,Dog Snacks Filet Mignon & Bacon Flavors,dog food care,0.01266777134449396,missing,6
156,General Tsao's Tofu,frozen meals,0.0126535874581343,missing,101
157,Organic Nondairy Lemon Cashew Yogurt,soy lactosefree,0.012648737663820783,missing,440
158,One Beyond Grain Free Arctic Char & Spinach,frozen dessert,0.012642706624590347,missing,3
159,Regular Nail Polish Remover,beauty,0.012629554649130115,other,87
160,Nutri Grain Pumpkin Spice Bars,breakfast bars pastries,0.012580670087013088,missing,24
161,Sumo Mandarin,fresh fruits,0.012571464945964792,missing,423
162,"Conditioner, Fortifying, Sleek & Shine, Frizzy, Dry Unmanageable Hair",hair care,0.012552081511674501,missing,4
163,Steamfresh Veggie Made Riced Cauliflower,frozen dessert,0.012518144900913054,missing,34
164,Fine Black Permanent Marker,more household,0.012517467099408095,missing,88
165,Vanilla Latte Chilled Espresso Beverage,breakfast bars pastries,0.012478624143023129,other,85
166,Milk Chocolate Bunny,eye ear care,0.01243772436083759,missing,3
167,Organic Grabbits Mint Chocolate Sandwich Cookies,beauty,0.01241727810811151,missing,10
168,Natural Hand-Flaked Tuna Cat Treat Packs,cat food care,0.01239965876608607,missing,12
169,Moderate Absorbency Long Length Incontinence Pads,feminine care,0.012398258941756215,other,25
170,Chocolate Caramel Protein Snack Bar,protein meal replacements,0.012379941814703222,missing,135
171,Purple Sweet Potato (Yam),fresh vegetables,0.01232922504730752,missing,288
172,Vanilla Frozen Greek Yogurt Sandwiches,indian foods,0.01229518522605529,missing,2
173,Perfectly Pink Spritzer,specialty wines champagnes,0.012256112345183224,other,33
174,No.4 Natural Brown Cone Coffee Filters,coffee,0.012169572101933323,missing,272
175,French Cheesecake,frozen dessert,0.012146719625369982,missing,13
176,Lentils Provencal,air fresheners candles,0.012080972251337311,missing,15
177,Lavander & Aloe Lotion,skin care,0.012048411389909646,missing,12
178,Tropical Fruit Electrolyte Solution,baby food formula,0.011922779345923926,other,96
179,Organic Ginseng Mandarin Tonic,refrigerated,0.01188042278611141,missing,122
180,Sea-Salt Grain-Free Tortilla Chips,fresh vegetables,0.011822126622084563,missing,491
181,Ultra Plush White Mega Rolls,canned meat seafood,0.011801643825306333,missing,30
182,"Multivitamin, Kids Complete, Gummies",vitamins supplements,0.01176373352626521,other,416
183,Moroccan Tagine,marinades meat preparation,0.011705116912937632,missing,50
184,Healing Ointment Advanced Therapy,diapers wipes,0.011703452253801311,other,40
185,Mild Flavor Celery Hearts,kosher foods,0.011654608939023411,missing,84
186,Duct Tape,more household,0.0116112205939696,other,55
187,Kids Black Elderberry Syrup,vitamins supplements,0.011602906853078705,other,67
188,Regular Liquid Nail Polish Remover,beauty,0.011569115810523882,other,32
189,Baby Cough Syrup,cold flu allergy,0.01152427329214626,other,29
190,Hand Soap Organic Lemongrass,soap,0.011499728966478485,other,116
191,Mocha Nitro Cold Brew Coffee With Almond Milk,coffee,0.011460202628475948,missing,214
192,Intensive Repair Extra-Enriched Hand Creme,air fresheners candles,0.011374893442630124,other,47
193,Natural Foods Spanish Paella,marinades meat preparation,0.011349160677292792,missing,48
194,Kitchen Bug Killer 2 Botanical,first aid,0.011340503743606335,other,13
195,Organic Chopped BBQ Ranch Salad Kit,prepared soups salads,0.011337460163209273,missing,71
196,Pesto Swirls,frozen appetizers sides,0.011313781079714398,missing,79
197,Liquid Water Enhance Ice Van Java,cocoa drink mixes,0.01130446200081391,missing,21
198,Baby Vitamin C tablets,cold flu allergy,0.01126041520252871,other,24
199,Mixed Fruit Flavor Multi Symptom Relief Cold and Flu Gummies,cold flu allergy,0.01126041520252871,missing,6
200,Chunky Chili Mac Soup,soup broth bouillon,0.01125567449132085,missing,52
201,Duster 360 Refill,cleaning products,0.011208171873234016,missing,26
202,Spinach & Ricotta Ravioli Bowl,frozen meals,0.011189560527591446,missing,84
203,Twisted Tropical Tango Organic Juice Drink,juice nectars,0.01118271253780509,missing,84
204,SleepTabs Nighttime Sleep Aid,facial care,0.011178886726673797,other,72
205,Strawberry Whole Milk Drinkable Yogurt,yogurt,0.011175059119108646,missing,242
206,Dairy Free French Vanilla Creamer Almond Milk,soy lactosefree,0.011171156583307933,missing,313
207,Chili Rellano Casserole Bowl,frozen meals,0.011166992877501834,missing,81
208,Original Shorty Smoked Sausages,packaged produce,0.011111908522047447,missing,65
209,White Tea & Berry Fusion Antibacterial Hand Soap Moisturizers,body lotions soap,0.011062434235752453,other,23
210,Peaceful Sleep Oil Blend,air fresheners candles,0.011028368364419028,other,18
211,Gold Bears,beers coolers,0.010956642697819577,missing,7
212,Baking Soda Cream Cleaner Lemon Verbena,cleaning products,0.010954351620712496,other,34
213,Kiwifruit,fresh fruits,0.010947093811752526,other,303
214,Penne pasta with a spicy tomato basil sauce & parmesan cheese Spicy Penne Arrabbiata,frozen meals,0.010904478583303318,missing,34
215,Clear Away Wart Remover Medicated Discs & Cushioning Pads for Feet,first aid,0.010896893215576912,other,22
216,Skinny Margarita,white wines,0.010895987583113961,other,12
217,Natural Stress Relief,skin care,0.010888102554321022,other,45
218,Lemonade With Mint,frozen juice,0.010860586874184577,missing,2
219,Original Disney Princess Spaghetti Os Cool Shapes Pasta in Tomato & Cheese Sauce,frozen juice,0.010860586874184577,missing,2
220,Lighters,air fresheners candles,0.010859986440365146,other,33
221,Lemon Verbena Foaming Hand Soap,soap,0.010849523143534998,other,75
222,Facial Tissues with Lotion,paper goods,0.010842255572845804,other,137
223,Umcka Cold Care Children's Cherry Flavor Syrup,cold flu allergy,0.01083589238995758,other,49
224,Organic Blue Corn Tortilla Dippers,preserved dips spreads,0.010795600609604635,missing,245
225,Turkey Snack Sticks,mint gum,0.010732937393963147,missing,17
226,Organic Lime Bag,fresh herbs,0.010718734693743388,missing,163
227,Coconut Chocolate Protein Bar,energy granola bars,0.01071258351531343,missing,88
228,Organic Wild Rumpus Avocado Babyfood,baby food formula,0.010691366811374047,missing,26
229,Grill Mates Brown Sugar Bourbon Seasoning,kitchen supplies,0.010677035543974553,missing,1
230,"Ibuprofen Drops for ages 6-23 Months, White Grape Flavor",cold flu allergy,0.010640092244722135,other,42
231,Green Lemonade,juice nectars,0.010633808992891097,missing,142
232,Buffalo Style Chicken Wrap,packaged meat,0.010617243995443261,missing,17
233,"Coldpuree Organic Stage 2 Banana, Blueberry and Avocado Baby Food",baby food formula,0.01060533255017032,missing,29
234,Liquid Ant Baits,more household,0.010585771138310362,other,35
235,Rescue Remedy,vitamins supplements,0.010541493861178402,other,152
236,Big Daddy Ipa in Can,beers coolers,0.010488452670408736,missing,11
237,Habanero Pepper,fresh herbs,0.010479817894565936,missing,166
238,Natural Uncured Beef Hot Dog,buns rolls,0.01047529155011173,missing,201
239,Lemon Cayenne Drinking Vinegar,refrigerated,0.010460737138921157,missing,188
240,Coldpuree Organic Stage 2 Pear and Apricot Baby Food,baby food formula,0.010448600313470757,missing,20
241,"Melatonin, 3 mg, Tablets",vitamins supplements,0.010441788260291867,other,132
242,Original Vanilla Frosting,baking supplies decor,0.01042370665459717,missing,36
243,Instant Lunch Ramen Noodle Soup Sriracha Chicken,air fresheners candles,0.010420828592523178,missing,14
244,All Purpose Cleaner Lavender,air fresheners candles,0.010420828592523178,missing,14
245,Firewood Bundle,more household,0.010387956664251961,missing,46
246,Omega 3 + DHA Fruit Flavored Gummy Bears,vitamins supplements,0.01031809984343175,other,46
247,Plain Organic Grassmilk Yogurt Cup,fresh fruits,0.010308643497658048,missing,318
248,Italian Sweet Creme Creamer,cocoa drink mixes,0.010299642252176958,other,349
249,Chicken Nugget Meal With Macaroni & Cheese,frozen juice,0.010239459501868699,missing,9
250,Jvle Garlic Herb Fg Chicken Breast,first aid,0.010222191934290992,missing,4
251,Purely Natural Hand-Flaked Salmon Treats Cat Treats,cat food care,0.010187359217328022,missing,10
252,Ground Oregano,spices seasonings,0.010182521273420899,other,59
253,Whole Milk Pure Honey Pear,yogurt,0.010173773607225949,missing,121
254,Organic Cashew Blueberry Boom Drink,refrigerated,0.010172887877376751,missing,98
255,Vermont White Cheddar Mac & Cheese,frozen meals,0.010089981072067992,missing,45
256,Rapid Relief Zinc Oxide Diaper Rash Cream,diapers wipes,0.010072727927134697,other,54
257,Non Alcoholic Lime Margarita Mix,specialty wines champagnes,0.01005800073855902,other,4
258,Organic Grassmilk Yogurt Wild Blueberry,yogurt,0.010049649483549257,missing,263
259,Sidecar Orange Pale Ale,beers coolers,0.010041928905068677,missing,3
260,Pressed Pineapple Banana Kale Bar,energy granola bars,0.009991751214835358,missing,52
261,Organic Pink Lady (Cripps) Apple,fresh fruits,0.009989918705845056,missing,296
262,Greek Yogurt Flip Smore Smore's Sweet Vanilla Low Fat,yogurt,0.009987709087703352,missing,98
263,Limoncello Originale,spirits,0.009986714024553605,other,7
264,Pizza Mac & Cheese,frozen meals,0.009986281930157489,missing,78
265,Rainbow Roll,prepared soups salads,0.009979551528804413,other,77
266,Black Pepper Grinder,spices seasonings,0.009970747340912833,other,106
267,Lime Grain-Free Tortilla Chips,fresh vegetables,0.009968945090147239,missing,360
268,Fresh Citrus Antibacterial Hand Soap Moisturizers,body lotions soap,0.009956190812177208,other,23
269,Hops Hard Apple Cider,red wines,0.00993935614618211,missing,10
270,Simply Peach,protein meal replacements,0.009896625331298044,missing,5
271,Herbal Tea Bags Organic Turmeric With Meadowsweet & Ginger 16 Ct,tea,0.009888240508649435,missing,65
272,Ultimate Intensive Healing Hand Cream,body lotions soap,0.009864459245858746,other,35
273,Halloween Mixed Fruit Snack,breakfast bars pastries,0.009861191147352866,missing,25
274,Organic Tamari Almonds,bulk dried fruits vegetables,0.009856921194884193,other,117
275,Coconut Foot Creme,skin care,0.009837486705471897,other,18
276,Americone Dream Pint Slices Ice Cream,baking supplies decor,0.009827564880753332,missing,2
277,Quietude Quick Dissolving Tablets,cold flu allergy,0.009820240185812519,other,71
278,Lightly Sweet Chai Skinny Latte,cat food care,0.009802790977426248,missing,30
279,Black Chia Seeds,fresh vegetables,0.009801319897968609,other,266
280,Baby Eczema Relief Body Creme,baby bath body care,0.00978594919500171,other,21
281,Water Filtration Pitcher Advanced Replacement Filter,paper goods,0.009774505247380202,missing,226
282,Peanut Butter Persuasion Cookie,bulk grains rice dried goods,0.0097526171764564,missing,10
283,Dark Chocolate Malt Balls,dog food care,0.00973664082345026,other,26
284,Organic Kiwi Bag,fresh fruits,0.00971406871951696,missing,232
285,"Coldpuree Organic Stage 2 Apple, Sweet Potato, Pineapple and Oat Baby Food",baby food formula,0.009713251350569328,missing,14
286,Corn Tortillas 24 Count,white wines,0.009705549976681858,missing,71
287,Organic Red Anjou Pear,fresh fruits,0.009700047195730971,missing,212
288,Sanitizing Wipes,facial care,0.009687874280188082,other,116
289,Advanced Refreshing Gel,shave needs,0.00968134507484547,other,28
290,Organic Coco Whip,soy lactosefree,0.009671682529613711,other,192
291,Layered Salted Caramel & Dark Chocolate Chewy Bars,breakfast bars pastries,0.009669693478388593,missing,26
292,Sweet & Sour Cocktail Mix,beers coolers,0.009662850594207474,other,9
293,Organic Flax Seed,bulk grains rice dried goods,0.009644787429076061,other,108
294,Tulips,packaged vegetables fruits,0.00961402508351873,other,314
295,Satsuma,fresh fruits,0.00961338505680057,missing,249
296,Pipeline Punch,more household,0.009587649857137132,missing,6
297,Vanilla Passion Candle Jar Candle,air fresheners candles,0.00955084716587952,missing,6
298,Ginger/Garlic Vegetable Stir Fry Kit,packaged vegetables fruits,0.009550271129803315,missing,241
299,Easy Ups Boy Training Underwear 4T-5T,breakfast bars pastries,0.009548057271866413,missing,15
300,100% Grass-Fed No-Grain Strawberry Yogurt,yogurt,0.009544998154446802,missing,280
301,Organic Emerald Matcha Whole Leaf Tea,tea,0.009529078747486437,missing,62
302,Body Envy Volumizing Conditioner,facial care,0.009485599932656795,missing,4
303,Cordon Negro Extra Dry Sparkling Wine,specialty wines champagnes,0.009482774036552517,missing,18
304,Organic Breakfast Blend Coffee,fresh fruits,0.009476739849594424,other,398
305,Deluxe Nut Mix,fresh dips tapenades,0.009468691199941167,other,244
306,Kalifornia Kolsch,beers coolers,0.009467621366623019,missing,6
307,Organic Garam Masala,spices seasonings,0.009431361971044955,other,136
308,Green House Grown Miraculously Sweet Tomatoes,fresh fruits,0.00942368250912668,missing,227
309,Tasters Choice Stick Columbian,kosher foods,0.009420635362616624,missing,17
310,Organic Guten Free Millet Flour,baking ingredients,0.009394540872172449,missing,36
311,Organic Vanilla Grassmilk Yogurt,fresh fruits,0.009390052646123939,missing,274
312,Spring Water Refill Liquid Hand Soap,paper goods,0.009383060047800668,other,109
313,Echinacea + Vitamin C & Zinc Gummy Bears,vitamins supplements,0.009367849908715914,other,41
314,Beef Chuck Roast,soup broth bouillon,0.009348785153789466,other,159
315,Baby Eczema Therapy Soothing Bath Treatment,baby bath body care,0.00934267769439323,other,36
316,The Ultimate Margarita,spirits,0.009341715574892476,other,8
317,Organic Sprouted Almonds,skin care,0.00933265933227516,missing,5
318,Good Glide Personal Lubricant With Aloe Vera,skin care,0.00933265933227516,other,5
319,Organic Tea Tree Oil,skin care,0.00933265933227516,other,45
320,Treat Diaper Rash Cream,first aid,0.009331541849264238,other,30
321,H2O Closer Personal Lubricant,cat food care,0.009299744074564553,other,12
322,Low Fat Peach Greek Yogurt Drink,cat food care,0.009299744074564553,missing,12
323,Coffeemate Bliss Salted Caramel Coffee Creamer,cream,0.009296843677679046,missing,102
324,Unscented Foot Cream,beauty,0.009255292648419105,other,8
325,Aplwd Chicken Strips,kitchen supplies,0.009246584018191365,missing,12
326,Baby Nighttime Tiny Cold Syrup,cold flu allergy,0.009214590182539163,other,14
327,Original Diaper Rash Ointment,first aid,0.009200691572971506,other,79
328,Systemsupport Sleepthru 30 Vegetarian Liquid Phyto Caps,vitamins supplements,0.009174106822246904,other,19
329,Liquid Personal Lubricant and Moisturizer,shave needs,0.009164097579280689,other,20
330,Ultimate Care Hand Cream With Baobab Oil,first aid,0.009143006417649887,other,5
331,SleepGels Nighttime Sleep Aid,cat food care,0.009079299481045902,other,185
332,Crushed Chili,spirits,0.009062795303472773,other,34
333,Sunscreen SPF 50+,baby food formula,0.009055610277821398,other,95
334,Heel Balm,skin care,0.009036308542432234,other,12
335,Caramelized Pecans,packaged vegetables fruits,0.009022861506185736,other,219
336,Original Liquid Coffee Creamer,coffee,0.009012873147406097,other,223
337,Organic Supreme Fruit & Nut Mix,granola,0.009004928821316099,other,140
338,Alimentum Hypoallergenic Powdered Infant Formula With Iron,diapers wipes,0.008992020424829295,missing,14
339,Baby Diaper Rash Ointment,baby bath body care,0.008988968316207744,other,14
340,French Wine Aperitif,white wines,0.00898873115903502,other,24
341,Whole Cumin,spices seasonings,0.008987102592012002,other,50
342,Ginger Lemon Kombucha,tea,0.008982313186289184,missing,157
343,Sandwich Vanilla Yogurt Creme Breakfast Biscuits,breakfast bars pastries,0.008968838094472428,missing,17
344,Sparkling Apple,soft drinks,0.008963198709467463,missing,58
345,Fruities Apple Sweet Potato Pineapple,canned fruit applesauce,0.008962819039686747,missing,16
346,Large Biodynamic Eggs,frozen breads doughs,0.00893119193309547,missing,8
347,Vitamin Code Kids Cherry Berry Chewables,vitamins supplements,0.008919725574843263,other,38
348,Maximum Strength Zinc Oxide Diaper Rash Paste,diapers wipes,0.008901646066550629,other,28
349,Strawberry Shampoo,frozen juice,0.008867632049640247,missing,3
350,Kids Toothpaste Berry Smart,oral hygiene,0.008866822941845195,other,74
351,Super Glue,more household,0.008863785428487926,missing,78
352,Shea Butter Cream Oil Body Lotion,body lotions soap,0.008842261805399244,missing,9
353,"Detoxificant, No. 7",vitamins supplements,0.008836405087467504,other,8
